Appearance,Color,Condition ,Positive Personality,Negative Personality,Shape ,Size ,Sound ,Time ,Taste ,Touch ,Quantity 
attractive,ashy,alive,aggressive,angry,broad,big,crashing,ancient,acidic,breezy,abundant
bald,black,better,agreeable,bewildered,chubby,colossal,deafening,brief,bitter,bumpy,billions
beautiful,blue,careful,ambitious,clumsy,crooked,fat,echoing,early,cool,chilly,enough
chubby,gray,clever,brave,defeated,curved,gigantic,faint,fast,creamy,cold,few
clean,green,dead,calm,embarrassed,deep,great,harsh,future,delicious,cool,full
dazzling,icy,easy,delightful,fierce,flat,huge,hissing,late,disgusting,cuddly,hundreds
drab,lemon,famous,eager,grumpy,high,immense,howling,long,fresh,damaged,incalculable
elegant,mango,gifted,faithful,helpless,hollow,large,loud,modern,greasy,damp,limited
fancy,orange,hallowed,gentle,itchy,low,little,melodic,old,juicy,dirty,little
fit,purple,helpful,happy,jealous,narrow,mammoth,noisy,old-fashioned,hot,dry,many
flabby,red,important,jolly,lazy,refined,massive,purring,prehistoric,moldy,flaky,most
glamorous,salmon,inexpensive,kind,mysterious,round,microscopic,quiet,quick,nutritious,fluffy,millions
gorgeous,white,mealy,lively,nervous,shallow,miniature,rapping,rapid,nutty,freezing,numerous
handsome,yellow,mushy,nice,obnoxious,skinny,petite,raspy,short,putrid,greasy,scarce
long,,odd,obedient,panicky,square,puny,rhythmic,slow,rancid,hot,some
magnificent,,poor,polite,pitiful,steep,scrawny,screeching,swift,ripe,icy,sparse
muscular,,powerful,proud,repulsive,straight,short,shrilling,young,rotten,loose,substantial
plain,,rich,silly,scary,wide,small,squeaking,,salty,melted,thousands
plump,,shy,thankful,thoughtless,,tall,thundering,,savory,prickly,
quaint,,tender,victorious,uptight,,teeny,tinkling,,sour,rough,
scruffy,,unimportant,witty,worried,,tiny,wailing,,spicy,shaggy,
shapely,,uninterested,wonderful,,,,whining,,spoiled,sharp,
short,,vast,zealous,,,,whispering,,stale,slimy,
skinny,,wrong,,,,,,,sweet,sticky,
stocky,,,,,,,,,tangy,strong,
ugly,,,,,,,,,tart,tight,
unkempt,,,,,,,,,tasteless,uneven,
unsightly,,,,,,,,,tasty,warm,
,,,,,,,,,yummy,weak,
,,,,,,,,,,wet,
,,,,,,,,,,wooden,